Unnamed: 0,Work Location,Registration ID,Country,Region,Year,Origin_Latitude,Origin_Longitude,Local Attendee,Conference Location,Destination_Latitude,Destination_Longitude,Travel Distance (round trip km),Travel CO2 (tonnes),Average Travel,Travel Cost (USD)
0,San Francisco CA USA,1,USA,USA,2020,37.779026200000004,-122.4199061,0,"Madison, Wisconsin",43.074761,-89.3837613,5676.70598860272,0.9682068038058993,0,681.2047186323264
1,Unknown,2,Unknown,Unknown,2020,0.0,0.0,0,"Madison, Wisconsin",43.074761,-89.3837613,4610.041200729835,0.8071554210962464,1,553.2049440875802
2,Greenbelt MD USA,3,USA,USA,2020,39.004607,-76.8756838,0,"Madison, Wisconsin",43.074761,-89.3837613,2282.0367426028797,0.4629627300467953,0,438.1510545797529
3,Macclesfield Cheshire United Kingdom,4,United Kingdom,Europe,2020,53.2606635,-2.1255158,0,"Madison, Wisconsin",43.074761,-89.3837613,12314.97723120493,1.9092624636380493,0,1293.0726092765176
4,Washington DC USA,5,USA,USA,2020,38.8949855,-77.03657079999999,0,"Madison, Wisconsin",43.074761,-89.3837613,2268.7601181754035,0.4612096211564897,0,435.60194268967746
5,Apopka FL USA,6,USA,USA,2020,28.677968300000003,-81.5115214,0,"Madison, Wisconsin",43.074761,-89.3837613,3497.836846696233,0.642179328056612,0,671.5846745656768
6,Baltimore MD USA,7,USA,USA,2020,39.2847494,-76.62047463969989,0,"Madison, Wisconsin",43.074761,-89.3837613,2293.6142511822018,0.46449147956659,0,440.3739362269827
7,Unknown,8,Unknown,Unknown,2020,0.0,0.0,0,"Madison, Wisconsin",43.074761,-89.3837613,4610.041200729835,0.8071554210962464,1,553.2049440875802
8,MACCLESFIELD Cheshire United Kingdom,9,United Kingdom,Europe,2020,53.2606635,-2.1255158,0,"Madison, Wisconsin",43.074761,-89.3837613,12314.97723120493,1.9092624636380493,0,1293.0726092765176
9,USA,10,USA,USA,2020,39.7837304,-100.4458825,0,"Madison, Wisconsin",43.074761,-89.3837613,1982.4670003907709,0.42340611072632095,0,380.63366407502804
10,Unknown,11,Unknown,Unknown,2020,0.0,0.0,0,"Madison, Wisconsin",43.074761,-89.3837613,4610.041200729835,0.8071554210962464,1,553.2049440875802
11,MACCLESFIELD Cheshire United Kingdom,12,United Kingdom,Europe,2020,53.2606635,-2.1255158,0,"Madison, Wisconsin",43.074761,-89.3837613,12314.97723120493,1.9092624636380493,0,1293.0726092765176
12,Atlanta GA USA,13,USA,USA,2020,33.749098700000005,-84.39018490000001,0,"Madison, Wisconsin",43.074761,-89.3837613,2247.972219989608,0.45846468780996347,0,431.6106662380048
13,East Lansing MI USA,14,USA,USA,2020,42.735541600000005,-84.4852469,0,"Madison, Wisconsin",43.074761,-89.3837613,801.3937235997186,0.2674515551873657,0,153.86759493114596
14,Corinth TX USA,15,USA,USA,2020,33.1540091,-97.06473220000001,0,"Madison, Wisconsin",43.074761,-89.3837613,2580.69342853978,0.5023987850565023,0,495.4931382796378
15,Unknown,16,Unknown,Unknown,2020,0.0,0.0,0,"Madison, Wisconsin",43.074761,-89.3837613,4610.041200729835,0.8071554210962464,1,553.2049440875802
16,Baltimore MD USA,17,USA,USA,2020,39.2847494,-76.62047463969989,0,"Madison, Wisconsin",43.074761,-89.3837613,2293.6142511822018,0.46449147956659,0,440.3739362269827
17,Albuquerque NM USA,18,USA,USA,2020,35.0841034,-106.6509851,0,"Madison, Wisconsin",43.074761,-89.3837613,3460.3543713224394,0.6362122170303351,0,664.3880392939084
18,Unknown,19,Unknown,Unknown,2020,0.0,0.0,0,"Madison, Wisconsin",43.074761,-89.3837613,4610.041200729835,0.8071554210962464,1,553.2049440875802
19,Glendale NY USA,20,USA,USA,2020,40.7014917,-73.8868028,0,"Madison, Wisconsin",43.074761,-89.3837613,2615.3342722789857,0.5069729274869537,0,502.1441802775653
20,Washington DC USA,21,USA,USA,2020,38.8949855,-77.03657079999999,0,"Madison, Wisconsin",43.074761,-89.3837613,2268.7601181754035,0.4612096211564897,0,435.60194268967746
21,Ames IA USA,22,USA,USA,2020,42.026770299999995,-93.6170554,0,"Madison, Wisconsin",43.074761,-89.3837613,731.5529206130936,0.25822944204477033,0,140.45816075771398
22,Tempe AZ USA,23,USA,USA,2020,33.4255056,-111.9400125,0,"Madison, Wisconsin",43.074761,-89.3837613,4465.511046452371,0.7962305034292387,0,535.8613255742846
23,Almada  Portugal,24,Portugal,Europe,2020,38.676430200000006,-9.1649974,0,"Madison, Wisconsin",43.074761,-89.3837613,12992.28582016782,2.0096452106173004,0,1364.1900111176212
24,West Orange NJ USA,25,USA,USA,2020,40.798711299999994,-74.2390353,0,"Madison, Wisconsin",43.074761,-89.3837613,2552.2891150101987,0.4986481438567194,0,490.03951008195816
25,Washington DC USA,26,USA,USA,2020,38.8949855,-77.03657079999999,0,"Madison, Wisconsin",43.074761,-89.3837613,2268.7601181754035,0.4612096211564897,0,435.60194268967746
26,Winnipeg MB Canada,27,Canada,Other Americas,2020,49.8955367,-97.1384584,0,"Madison, Wisconsin",43.074761,-89.3837613,1924.2066147866135,0.4157131311957783,0,369.4476700390298
27,Tempe AZ USA,28,USA,USA,2020,33.4255056,-111.9400125,0,"Madison, Wisconsin",43.074761,-89.3837613,4465.511046452371,0.7962305034292387,0,535.8613255742846
28,Unknown,29,Unknown,Unknown,2020,0.0,0.0,0,"Madison, Wisconsin",43.074761,-89.3837613,4610.041200729835,0.8071554210962464,1,553.2049440875802
29,Chicago IL USA,30,USA,USA,2020,41.875561600000005,-87.6244212,0,"Madison, Wisconsin",43.074761,-89.3837613,392.92408850763263,0.21351527397285525,0,75.44142499346546
30,Central SC USA,31,USA,USA,2020,34.7257424,-82.78049990000001,0,"Madison, Wisconsin",43.074761,-89.3837613,2178.5717487951815,0.4493007181799609,0,418.28577576867485
31,Minneapolis MN USA,32,USA,USA,2020,44.9772995,-93.2654692,0,"Madison, Wisconsin",43.074761,-89.3837613,751.0536059486499,0.260804405659623,0,144.20229234214077
32,Stevenson Ranch CA USA,33,USA,USA,2020,34.3881783,-118.58539569999999,0,"Madison, Wisconsin",43.074761,-89.3837613,5388.111912498744,0.9290565515544108,0,646.5734294998492
33,Plano TX USA,34,USA,USA,2020,33.013676399999994,-96.6925096,0,"Madison, Wisconsin",43.074761,-89.3837613,2575.281190504948,0.5016841273009,0,494.45398857695005
34,Basel  Switzerland,35,Switzerland,Europe,2020,47.55810770000001,7.5878261,0,"Madison, Wisconsin",43.074761,-89.3837613,14150.770285787785,2.183216187949074,0,1485.8308800077175
35,La Jolla CA USA,36,USA,USA,2020,32.83259,-117.27168390000001,0,"Madison, Wisconsin",43.074761,-89.3837613,5361.185569146676,0.9254112491048917,0,643.3422682976011
36,Unknown,37,Unknown,Unknown,2020,0.0,0.0,0,"Madison, Wisconsin",43.074761,-89.3837613,4610.041200729835,0.8071554210962464,1,553.2049440875802
37,Cincinnati OH USA,38,USA,USA,2020,39.1014537,-84.5124602,0,"Madison, Wisconsin",43.074761,-89.3837613,1202.6731053013584,0.3204384010080231,0,230.91323621786083
38,Edwardsville IL USA,39,USA,USA,2020,38.8114364,-89.95315699999999,0,"Madison, Wisconsin",43.074761,-89.3837613,952.9267676999993,0.2874607019579475,0,182.9619393983999
39,Northfield MN USA,40,USA,USA,2020,44.4582041,-93.161159,0,"Madison, Wisconsin",43.074761,-89.3837613,680.1188292381873,0.2514378390023941,0,130.58281521373198
