Unnamed: 0,Work Location,Region,Year,Number,Origin_Latitude,Origin_Longitude,Local Attendee,Conference Location,Destination_Latitude,Destination_Longitude,Travel Distance (round trip km),Travel CO2 (tonnes),Travel Cost (USD)
0,United Arab Emirates,Middle East,2018,1,24.0002488,53.999482900000004,0,"Vancouver, Canada",49.2608724,-123.1139529,23727.6130857098,3.7086668864469146,2171.0765973424463
1,Albania,Europe,2018,0,41.000028,19.9999619,0,"Vancouver, Canada",49.2608724,-123.1139529,18698.509148847923,2.88745148709481,1963.343460629032
2,Argentina,Other Americas,2018,2,-34.9964963,-64.9672817,0,"Vancouver, Canada",49.2608724,-123.1139529,21964.76874579166,3.4157338855460977,2009.776340239937
3,Austria,Europe,2018,3,47.2000338,13.199959,0,"Vancouver, Canada",49.2608724,-123.1139529,16988.65530247365,2.6183982059767508,1783.8088067597334
4,Australia,Oceania,2018,8,-24.7761086,134.755,0,"Vancouver, Canada",49.2608724,-123.1139529,25849.459264721234,4.0685185356346185,2365.225522721993
5,Bosnia and Herzegovina,Europe,2018,0,44.305347600000005,17.596146700000002,0,"Vancouver, Canada",49.2608724,-123.1139529,17867.18567631386,2.7559954144886176,1876.0544960129555
6,Bangladesh,Asia,2018,0,24.4768783,90.2932426,0,"Vancouver, Canada",49.2608724,-123.1139529,22345.846976677713,3.4785939255409692,2044.6449983660107
7,Belgium,Europe,2018,2,50.6402809,4.666714499999999,0,"Vancouver, Canada",49.2608724,-123.1139529,15699.280964780564,2.4189168118875353,1648.4245013019595
8,Burkina Faso,Africa,2018,0,12.075308300000001,-1.6880313999999998,0,"Vancouver, Canada",49.2608724,-123.1139529,22246.620390685286,3.4622015481107256,2035.5657657477036
9,Bulgaria,Europe,2018,0,42.6073975,25.4856617,0,"Vancouver, Canada",49.2608724,-123.1139529,18701.027247356742,2.8878515208040367,1963.607860972458
10,Burundi,Africa,2018,0,-3.3634357,29.8870575,0,"Vancouver, Canada",49.2608724,-123.1139529,28616.702919461055,4.549746860247889,2618.4283171306865
11,Brazil,Other Americas,2018,4,-10.333333300000001,-53.2,0,"Vancouver, Canada",49.2608724,-123.1139529,18936.064390084455,2.9252395206112203,1988.286760958868
12,Canada,Other Americas,2018,320,61.0666922,-107.9917071,0,"Vancouver, Canada",49.2608724,-123.1139529,3236.5600404919137,0.6005847509732044,621.4195277744475
13,Switzerland,Europe,2018,34,46.7985624,8.231973599999998,0,"Vancouver, Canada",49.2608724,-123.1139529,16700.770976799606,2.573605063057853,1753.5809525639588
14,Chile,Other Americas,2018,0,-31.7613365,-71.3187697,0,"Vancouver, Canada",49.2608724,-123.1139529,20724.592521514645,3.212934636761796,1896.3002157185902
15,Cameroon,Africa,2018,0,4.6125522000000005,13.153581099999998,0,"Vancouver, Canada",49.2608724,-123.1139529,25385.543010674726,3.9891635533907475,2322.7771854767375
16,China,Asia,2018,71,35.000074,104.999927,0,"Vancouver, Canada",49.2608724,-123.1139529,19024.416182450022,2.939319057610253,1740.7340806941772
